league,team,scope,market,jogos,n_eventos,hit_rate,hit_std,wilson_lo,wilson_hi,edge_vs_liga,roi_unid_por_aposta,odds_avg,prob_impl,value_estimado,form_recent_5,alerta_tendencia_inversa
D1,Augsburg,Fora,Vitória (1X2),14,14.0,0.21428571428571427,0.41032590332414487,0.07571248336916371,0.4758972377320828,-0.16071428571428573,1.0278571428571428,5.386428571428572,0.18565177032223842,0.15423469387755095,0.2,False
D1,Augsburg,Fora,Over 2.5 golos,14,14.0,0.6428571428571429,0.4791574237499549,0.3876400468214041,0.8365550926279727,0.019841269841269882,0.059285714285714226,1.645714285714286,0.6076388888888888,0.05795918367346964,0.4,True
D1,Augsburg,Fora,Under 2.5 golos,14,14.0,0.35714285714285715,0.4791574237499549,0.16344490737202735,0.6123599531785959,-0.019841269841269826,-0.21,2.314285714285714,0.4320987654320988,-0.17346938775510212,0.6,False
D1,Augsburg,Fora,Handicap Asiático (AH),14,,,,,,,-0.1417857142857143,2.0914285714285716,0.4781420765027322,,,False
D1,Augsburg,Fora,Casa marca (>=1),14,14.0,0.6428571428571429,0.4791574237499549,0.3876400468214041,0.8365550926279727,-0.1329365079365079,,,,,0.6,False
D1,Augsburg,Fora,Clean sheet,14,14.0,0.0,0.0,0.0,0.21531701192718142,-0.22420634920634921,,,,,0.0,False
D1,Augsburg,Fora,Ambas marcam (BTTS),14,14.0,0.6428571428571429,0.4791574237499549,0.3876400468214041,0.8365550926279727,0.04761904761904767,,,,,0.6,False
D1,Augsburg,Fora,Over 1.5 golos,14,14.0,0.9285714285714286,0.25753937681885636,0.6853073044604219,0.9872781138877085,0.09920634920634919,,,,,1.0,False
D1,Augsburg,Fora,Over 3.5 golos,14,14.0,0.2857142857142857,0.45175395145262565,0.11721187910109102,0.546495411724844,-0.12301587301587302,,,,,0.2,False
D1,Augsburg,Fora,Cantos total Over 8.5,14,14.0,0.5714285714285714,0.4948716593053935,0.3259026690286936,0.7861949006959947,-0.023809523809523836,,,,,1.0,False
D1,Augsburg,Fora,Cantos total Over 9.5,14,14.0,0.5,0.5,0.2679886791947528,0.7320113208052473,0.0,,,,,1.0,False
D1,Augsburg,Fora,Cantos total Over 10.5,14,14.0,0.35714285714285715,0.4791574237499549,0.16344490737202735,0.6123599531785959,-0.015873015873015872,,,,,0.8,False
D1,Augsburg,Fora,Cantos equipa Over 4.5,14,14.0,0.2857142857142857,0.45175395145262565,0.11721187910109102,0.546495411724844,-0.2142857142857143,,,,,0.4,False
D1,Augsburg,Fora,Cantos equipa Over 5.5,14,14.0,0.21428571428571427,0.41032590332414487,0.07571248336916371,0.4758972377320828,-0.12301587301587305,,,,,0.4,False
D1,Augsburg,Fora,Equipa ganha cantos,14,14.0,0.21428571428571427,0.41032590332414487,0.07571248336916371,0.4758972377320828,-0.22420634920634921,,,,,0.4,False
D1,Augsburg,Casa,Vitória (1X2),14,14.0,0.42857142857142855,0.49487165930539345,0.21380509930400526,0.6740973309713064,0.05357142857142855,0.04714285714285714,3.3178571428571426,0.3013993541442411,0.421938775510204,0.6,False
D1,Augsburg,Casa,Over 2.5 golos,14,14.0,0.5,0.5,0.2679886791947528,0.7320113208052473,-0.12301587301587302,-0.14214285714285715,1.7285714285714284,0.578512396694215,-0.1357142857142858,0.6,False
D1,Augsburg,Casa,Under 2.5 golos,14,14.0,0.5,0.5,0.2679886791947528,0.7320113208052473,0.12301587301587302,0.05071428571428571,2.1714285714285717,0.4605263157894736,0.08571428571428585,0.4,False
D1,Augsburg,Casa,Handicap Asiático (AH),14,,,,,,,0.2064285714285714,1.8964285714285711,0.5273069679849341,,,False
D1,Augsburg,Casa,Casa marca (>=1),14,14.0,0.7857142857142857,0.4103259033241449,0.5241027622679172,0.9242875166308363,0.009920634920634885,,,,,1.0,False
D1,Augsburg,Casa,Clean sheet,14,14.0,0.35714285714285715,0.4791574237499549,0.16344490737202735,0.6123599531785959,0.13293650793650794,,,,,0.4,False
D1,Augsburg,Casa,Ambas marcam (BTTS),14,14.0,0.5,0.5,0.2679886791947528,0.7320113208052473,-0.09523809523809523,,,,,0.6,False
D1,Augsburg,Casa,Over 1.5 golos,14,14.0,0.7142857142857143,0.45175395145262565,0.4535045882751561,0.882788120898909,-0.11507936507936511,,,,,0.8,False
D1,Augsburg,Casa,Over 3.5 golos,14,14.0,0.42857142857142855,0.49487165930539345,0.21380509930400526,0.6740973309713064,0.019841269841269826,,,,,0.4,False
D1,Augsburg,Casa,Cantos total Over 8.5,14,14.0,0.6428571428571429,0.4791574237499549,0.3876400468214041,0.8365550926279727,0.04761904761904767,,,,,0.8,False
D1,Augsburg,Casa,Cantos total Over 9.5,14,14.0,0.5714285714285714,0.4948716593053935,0.3259026690286936,0.7861949006959947,0.0714285714285714,,,,,0.6,False
D1,Augsburg,Casa,Cantos total Over 10.5,14,14.0,0.5,0.5,0.2679886791947528,0.7320113208052473,0.12698412698412698,,,,,0.4,False
D1,Augsburg,Casa,Cantos equipa Over 4.5,14,14.0,0.5714285714285714,0.4948716593053935,0.3259026690286936,0.7861949006959947,0.0714285714285714,,,,,0.6,False
D1,Augsburg,Casa,Cantos equipa Over 5.5,14,14.0,0.42857142857142855,0.49487165930539345,0.21380509930400526,0.6740973309713064,0.09126984126984122,,,,,0.4,False
D1,Augsburg,Casa,Equipa ganha cantos,14,14.0,0.35714285714285715,0.4791574237499549,0.16344490737202735,0.6123599531785959,-0.08134920634920634,,,,,0.2,True
D1,Bayern Munich,Fora,Vitória (1X2),14,14.0,0.7857142857142857,0.4103259033241449,0.5241027622679172,0.9242875166308363,0.4107142857142857,0.05928571428571429,1.3442857142857143,0.7438894792773645,0.05622448979591832,0.6,True
D1,Bayern Munich,Fora,Over 2.5 golos,14,14.0,0.9285714285714286,0.25753937681885636,0.6853073044604219,0.9872781138877085,0.3055555555555556,0.20714285714285716,1.3042857142857145,0.7667031763417305,0.21112244897959198,0.8,False
D1,Bayern Munich,Fora,Under 2.5 golos,14,14.0,0.07142857142857142,0.2575393768188564,0.012721886112291648,0.3146926955395781,-0.3055555555555556,-0.7842857142857144,3.3807142857142862,0.29579547855482774,-0.7585204081632653,0.2,False
D1,Bayern Munich,Fora,Handicap Asiático (AH),14,,,,,,,0.12035714285714283,1.8814285714285715,0.5315110098709187,,,False
D1,Bayern Munich,Fora,Casa marca (>=1),14,14.0,1.0,0.0,0.7846829880728186,1.0,0.2242063492063492,,,,,1.0,False
D1,Bayern Munich,Fora,Clean sheet,14,14.0,0.35714285714285715,0.4791574237499549,0.16344490737202735,0.6123599531785959,0.13293650793650794,,,,,0.2,True
D1,Bayern Munich,Fora,Ambas marcam (BTTS),14,14.0,0.6428571428571429,0.4791574237499549,0.3876400468214041,0.8365550926279727,0.04761904761904767,,,,,0.8,False
D1,Bayern Munich,Fora,Over 1.5 golos,14,14.0,1.0,0.0,0.7846829880728186,1.0,0.17063492063492058,,,,,1.0,False
D1,Bayern Munich,Fora,Over 3.5 golos,14,14.0,0.7142857142857143,0.45175395145262565,0.4535045882751561,0.882788120898909,0.3055555555555556,,,,,0.6,False
D1,Bayern Munich,Fora,Cantos total Over 8.5,14,14.0,0.5714285714285714,0.4948716593053935,0.3259026690286936,0.7861949006959947,-0.023809523809523836,,,,,0.4,True
D1,Bayern Munich,Fora,Cantos total Over 9.5,14,14.0,0.5,0.5,0.2679886791947528,0.7320113208052473,0.0,,,,,0.4,False
D1,Bayern Munich,Fora,Cantos total Over 10.5,14,14.0,0.35714285714285715,0.4791574237499549,0.16344490737202735,0.6123599531785959,-0.015873015873015872,,,,,0.4,False
D1,Bayern Munich,Fora,Cantos equipa Over 4.5,14,14.0,0.6428571428571429,0.4791574237499549,0.3876400468214041,0.8365550926279727,0.1428571428571429,,,,,0.4,True
D1,Bayern Munich,Fora,Cantos equipa Over 5.5,14,14.0,0.42857142857142855,0.49487165930539345,0.21380509930400526,0.6740973309713064,0.09126984126984122,,,,,0.4,False
D1,Bayern Munich,Fora,Equipa ganha cantos,14,14.0,0.5714285714285714,0.4948716593053935,0.3259026690286936,0.7861949006959947,0.1329365079365079,,,,,0.6,False
D1,Bayern Munich,Casa,Vitória (1X2),14,14.0,0.8571428571428571,0.34992710611188266,0.600580922361363,0.9599069262620787,0.4821428571428571,0.0021428571428571447,1.1578571428571427,0.8636644046884641,-0.007551020408163467,0.8,False
D1,Bayern Munich,Casa,Over 2.5 golos,14,14.0,1.0,0.0,0.7846829880728186,1.0,0.376984126984127,0.23857142857142852,1.2385714285714287,0.8073817762399077,0.23857142857142866,1.0,False
D1,Bayern Munich,Casa,Under 2.5 golos,14,14.0,0.0,0.0,0.0,0.21531701192718142,-0.376984126984127,-1.0,3.93,0.2544529262086514,-1.0,0.0,False
D1,Bayern Munich,Casa,Handicap Asiático (AH),14,,,,,,,0.19571428571428573,1.8699999999999999,0.5347593582887701,,,False
D1,Bayern Munich,Casa,Casa marca (>=1),14,14.0,1.0,0.0,0.7846829880728186,1.0,0.2242063492063492,,,,,1.0,False
D1,Bayern Munich,Casa,Clean sheet,14,14.0,0.35714285714285715,0.4791574237499549,0.16344490737202735,0.6123599531785959,0.13293650793650794,,,,,0.2,True
D1,Bayern Munich,Casa,Ambas marcam (BTTS),14,14.0,0.6428571428571429,0.4791574237499549,0.3876400468214041,0.8365550926279727,0.04761904761904767,,,,,0.8,False
D1,Bayern Munich,Casa,Over 1.5 golos,14,14.0,1.0,0.0,0.7846829880728186,1.0,0.17063492063492058,,,,,1.0,False
D1,Bayern Munich,Casa,Over 3.5 golos,14,14.0,0.7857142857142857,0.4103259033241449,0.5241027622679172,0.9242875166308363,0.376984126984127,,,,,0.8,False
D1,Bayern Munich,Casa,Cantos total Over 8.5,14,14.0,0.5714285714285714,0.4948716593053935,0.3259026690286936,0.7861949006959947,-0.023809523809523836,,,,,0.8,False
D1,Bayern Munich,Casa,Cantos total Over 9.5,14,14.0,0.5714285714285714,0.4948716593053935,0.3259026690286936,0.7861949006959947,0.0714285714285714,,,,,0.8,False
D1,Bayern Munich,Casa,Cantos total Over 10.5,14,14.0,0.42857142857142855,0.49487165930539345,0.21380509930400526,0.6740973309713064,0.055555555555555525,,,,,0.6,False
D1,Bayern Munich,Casa,Cantos equipa Over 4.5,14,14.0,0.8571428571428571,0.34992710611188266,0.600580922361363,0.9599069262620787,0.3571428571428571,,,,,1.0,False
D1,Bayern Munich,Casa,Cantos equipa Over 5.5,14,14.0,0.7142857142857143,0.45175395145262565,0.4535045882751561,0.882788120898909,0.376984126984127,,,,,1.0,False
D1,Bayern Munich,Casa,Equipa ganha cantos,14,14.0,0.8571428571428571,0.34992710611188266,0.600580922361363,0.9599069262620787,0.4186507936507936,,,,,1.0,False
D1,Dortmund,Fora,Vitória (1X2),14,14.0,0.5714285714285714,0.4948716593053935,0.3259026690286936,0.7861949006959947,0.1964285714285714,0.1392857142857143,2.4064285714285716,0.4155535767289997,0.3751020408163266,0.8,False
D1,Dortmund,Fora,Over 2.5 golos,14,14.0,0.5714285714285714,0.4948716593053935,0.3259026690286936,0.7861949006959947,-0.051587301587301626,-0.09499999999999999,1.5642857142857143,0.639269406392694,-0.10612244897959189,0.8,False
D1,Dortmund,Fora,Under 2.5 golos,14,14.0,0.42857142857142855,0.49487165930539345,0.21380509930400526,0.6740973309713064,0.05158730158730157,0.05071428571428568,2.422857142857143,0.41273584905660377,0.038367346938775526,0.2,True
D1,Dortmund,Fora,Handicap Asiático (AH),14,,,,,,,0.45999999999999996,2.1135714285714284,0.47313281514025013,,,False
D1,Dortmund,Fora,Casa marca (>=1),14,14.0,1.0,0.0,0.7846829880728186,1.0,0.2242063492063492,,,,,1.0,False
D1,Dortmund,Fora,Clean sheet,14,14.0,0.35714285714285715,0.4791574237499549,0.16344490737202735,0.6123599531785959,0.13293650793650794,,,,,0.4,False
D1,Dortmund,Fora,Ambas marcam (BTTS),14,14.0,0.6428571428571429,0.4791574237499549,0.3876400468214041,0.8365550926279727,0.04761904761904767,,,,,0.6,False
D1,Dortmund,Fora,Over 1.5 golos,14,14.0,0.9285714285714286,0.25753937681885636,0.6853073044604219,0.9872781138877085,0.09920634920634919,,,,,1.0,False
D1,Dortmund,Fora,Over 3.5 golos,14,14.0,0.21428571428571427,0.41032590332414487,0.07571248336916371,0.4758972377320828,-0.19444444444444445,,,,,0.2,False
D1,Dortmund,Fora,Cantos total Over 8.5,14,14.0,0.42857142857142855,0.49487165930539345,0.21380509930400526,0.6740973309713064,-0.16666666666666669,,,,,0.6,False
D1,Dortmund,Fora,Cantos total Over 9.5,14,14.0,0.2857142857142857,0.45175395145262565,0.11721187910109102,0.546495411724844,-0.2142857142857143,,,,,0.4,False
D1,Dortmund,Fora,Cantos total Over 10.5,14,14.0,0.2857142857142857,0.45175395145262565,0.11721187910109102,0.546495411724844,-0.08730158730158732,,,,,0.4,False
D1,Dortmund,Fora,Cantos equipa Over 4.5,14,14.0,0.2857142857142857,0.45175395145262565,0.11721187910109102,0.546495411724844,-0.2142857142857143,,,,,0.2,False
D1,Dortmund,Fora,Cantos equipa Over 5.5,14,14.0,0.14285714285714285,0.3499271061118826,0.04009307373792117,0.399419077638637,-0.19444444444444448,,,,,0.2,False
D1,Dortmund,Fora,Equipa ganha cantos,14,14.0,0.21428571428571427,0.41032590332414487,0.07571248336916371,0.4758972377320828,-0.22420634920634921,,,,,0.2,False
D1,Dortmund,Casa,Vitória (1X2),14,14.0,0.7857142857142857,0.4103259033241449,0.5241027622679172,0.9242875166308363,0.4107142857142857,0.11357142857142856,1.67,0.5988023952095809,0.31214285714285706,0.8,False
D1,Dortmund,Casa,Over 2.5 golos,14,14.0,0.5714285714285714,0.4948716593053935,0.3259026690286936,0.7861949006959947,-0.051587301587301626,-0.15357142857142855,1.465,0.68259385665529,-0.1628571428571428,0.8,False
D1,Dortmund,Casa,Under 2.5 golos,14,14.0,0.42857142857142855,0.49487165930539345,0.21380509930400526,0.6740973309713064,0.05158730158730157,0.15214285714285714,2.6428571428571432,0.37837837837837834,0.13265306122448983,0.2,True
D1,Dortmund,Casa,Handicap Asiático (AH),14,,,,,,,-0.05785714285714284,1.8771428571428572,0.532724505327245,,,False
D1,Dortmund,Casa,Casa marca (>=1),14,14.0,1.0,0.0,0.7846829880728186,1.0,0.2242063492063492,,,,,1.0,False
D1,Dortmund,Casa,Clean sheet,14,14.0,0.5714285714285714,0.4948716593053935,0.3259026690286936,0.7861949006959947,0.3472222222222222,,,,,0.4,True
D1,Dortmund,Casa,Ambas marcam (BTTS),14,14.0,0.42857142857142855,0.49487165930539345,0.21380509930400526,0.6740973309713064,-0.16666666666666669,,,,,0.6,False
D1,Dortmund,Casa,Over 1.5 golos,14,14.0,0.8571428571428571,0.34992710611188266,0.600580922361363,0.9599069262620787,0.02777777777777768,,,,,1.0,False
D1,Dortmund,Casa,Over 3.5 golos,14,14.0,0.42857142857142855,0.49487165930539345,0.21380509930400526,0.6740973309713064,0.019841269841269826,,,,,0.8,False
D1,Dortmund,Casa,Cantos total Over 8.5,14,14.0,0.7857142857142857,0.4103259033241449,0.5241027622679172,0.9242875166308363,0.19047619047619047,,,,,0.8,False
D1,Dortmund,Casa,Cantos total Over 9.5,14,14.0,0.7142857142857143,0.45175395145262565,0.4535045882751561,0.882788120898909,0.2142857142857143,,,,,0.6,False
D1,Dortmund,Casa,Cantos total Over 10.5,14,14.0,0.5,0.5,0.2679886791947528,0.7320113208052473,0.12698412698412698,,,,,0.6,False
D1,Dortmund,Casa,Cantos equipa Over 4.5,14,14.0,0.7857142857142857,0.4103259033241449,0.5241027622679172,0.9242875166308363,0.2857142857142857,,,,,1.0,False
D1,Dortmund,Casa,Cantos equipa Over 5.5,14,14.0,0.6428571428571429,0.4791574237499549,0.3876400468214041,0.8365550926279727,0.3055555555555556,,,,,0.8,False
D1,Dortmund,Casa,Equipa ganha cantos,14,14.0,0.6428571428571429,0.4791574237499549,0.3876400468214041,0.8365550926279727,0.20436507936507942,,,,,1.0,False
D1,Ein Frankfurt,Fora,Vitória (1X2),14,14.0,0.21428571428571427,0.41032590332414487,0.07571248336916371,0.4758972377320828,-0.16071428571428573,-0.5278571428571428,3.641428571428571,0.2746174970576697,-0.21969387755102054,0.0,True
