league,team,scope,cenario_lay,descricao,jogos,hit_rate,wilson_lo,wilson_hi,edge_vs_liga,confidence_weight,lay_score,flag_candidato,perde_3plus,perde_3plus_hi,ganha_3plus,ganha_3plus_hi,zero_zero,zero_zero_hi,sem_marcar,sem_marcar_hi,perde_sem_marcar,perde_sem_marcar_hi,vol_std_diff_golos,vol_std_total_golos,vol_std_pontos,vol_cv_golos_marcados
D1,Bayern Munich,Casa,Lay Under 2.5,Menos de 2.5 golos no jogo,13,0.0,0.0,0.22810184305529166,-0.3888888888888889,0.4297453923617709,5.155020323018745,True,0.0,0.22810184305529166,0.6153846153846154,0.8229055341876319,0.0,0.22810184305529166,0.0,0.22810184305529166,0.0,0.22810184305529166,2.253202848596432,1.7974340685458343,0.923076923076923,0.4702699715629801
D1,Heidenheim,Casa,Lay Clean Sheet,Equipa não sofre golos (clean sheet),13,0.0,0.0,0.22810184305529166,-0.27350427350427353,0.4297453923617709,5.155020323018745,True,0.23076923076923078,0.5025687399512693,0.0,0.22810184305529166,0.0,0.22810184305529166,0.38461538461538464,0.6447751902773147,0.38461538461538464,0.6447751902773147,1.5764539639937842,1.277942132756627,1.049090899768143,0.8894442709417557
D1,Wolfsburg,Casa,Lay Clean Sheet,Equipa não sofre golos (clean sheet),13,0.0,0.0,0.22810184305529166,-0.27350427350427353,0.4297453923617709,5.155020323018745,True,0.07692307692307693,0.3331453392824736,0.0,0.22810184305529166,0.0,0.22810184305529166,0.15384615384615385,0.4223517050863101,0.15384615384615385,0.4223517050863101,1.2113858267710478,1.635407048113023,1.0658774200423857,0.6557438524302001
D1,Bayern Munich,Casa,Lay Derrota,Equipa perde o jogo,13,0.07692307692307693,0.013710066379696304,0.3331453392824736,-0.22649572649572647,0.1671366517938161,3.88446557863012,True,0.0,0.22810184305529166,0.6153846153846154,0.8229055341876319,0.0,0.22810184305529166,0.0,0.22810184305529166,0.0,0.22810184305529166,2.253202848596432,1.7974340685458343,0.923076923076923,0.4702699715629801
D1,Bayern Munich,Casa,Lay Empate,Jogo termina empatado,13,0.07692307692307693,0.013710066379696304,0.3331453392824736,-0.16666666666666666,0.1671366517938161,3.88446557863012,True,0.0,0.22810184305529166,0.6153846153846154,0.8229055341876319,0.0,0.22810184305529166,0.0,0.22810184305529166,0.0,0.22810184305529166,2.253202848596432,1.7974340685458343,0.923076923076923,0.4702699715629801
D1,Dortmund,Casa,Lay Derrota,Equipa perde o jogo,13,0.07692307692307693,0.013710066379696304,0.3331453392824736,-0.22649572649572647,0.1671366517938161,3.88446557863012,True,0.0,0.22810184305529166,0.23076923076923078,0.5025687399512693,0.0,0.22810184305529166,0.0,0.22810184305529166,0.0,0.22810184305529166,1.336780553614059,1.6098807335735652,1.0088366960464616,0.39440531887330776
D1,FC Koln,Casa,Lay Clean Sheet,Equipa não sofre golos (clean sheet),13,0.07692307692307693,0.013710066379696304,0.3331453392824736,-0.1965811965811966,0.1671366517938161,3.88446557863012,True,0.0,0.22810184305529166,0.15384615384615385,0.4223517050863101,0.0,0.22810184305529166,0.07692307692307693,0.3331453392824736,0.07692307692307693,0.3331453392824736,1.4915938022819473,1.6354070481130227,1.2917581249035897,0.7100226978096958
D1,Hoffenheim,Casa,Lay Empate,Jogo termina empatado,13,0.07692307692307693,0.013710066379696304,0.3331453392824736,-0.16666666666666666,0.1671366517938161,3.88446557863012,True,0.07692307692307693,0.3331453392824736,0.3076923076923077,0.5763111218666236,0.0,0.22810184305529166,0.15384615384615385,0.4223517050863101,0.15384615384615385,0.4223517050863101,2.1122354181147664,1.5876744185038687,1.3846153846153846,0.7016743822995893
D1,Stuttgart,Casa,Lay Derrota,Equipa perde o jogo,13,0.07692307692307693,0.013710066379696304,0.3331453392824736,-0.22649572649572647,0.1671366517938161,3.88446557863012,True,0.07692307692307693,0.3331453392824736,0.07692307692307693,0.3331453392824736,0.07692307692307693,0.3331453392824736,0.15384615384615385,0.4223517050863101,0.07692307692307693,0.3331453392824736,1.9276867824833335,1.733758103013022,1.0088366960464616,0.7100226978096958
D1,Hamburg,Casa,Lay Clean Sheet,Equipa não sofre golos (clean sheet),14,0.14285714285714285,0.04009307373792117,0.399419077638637,-0.13064713064713068,0.0014523059034075858,3.21179264390167,True,0.0,0.21531701192718142,0.07142857142857142,0.3146926955395781,0.07142857142857142,0.3146926955395781,0.2857142857142857,0.546495411724844,0.21428571428571427,0.4758972377320828,1.3720980508784675,1.4445534582969062,1.2371791482634837,0.8660254037844386
D1,Dortmund,Casa,Lay Empate,Jogo termina empatado,13,0.15384615384615385,0.04325726318273798,0.4223517050863101,-0.08974358974358973,0.0,3.05085107923876,False,0.0,0.22810184305529166,0.23076923076923078,0.5025687399512693,0.0,0.22810184305529166,0.0,0.22810184305529166,0.0,0.22810184305529166,1.336780553614059,1.6098807335735652,1.0088366960464616,0.39440531887330776
