league,team,scope,cenario_lay,descricao,jogos,hit_rate,wilson_lo,wilson_hi,edge_vs_liga,confidence_weight,lay_score,flag_candidato,perde_3plus,perde_3plus_hi,ganha_3plus,ganha_3plus_hi,zero_zero,zero_zero_hi,sem_marcar,sem_marcar_hi,perde_sem_marcar,perde_sem_marcar_hi,vol_std_diff_golos,vol_std_total_golos,vol_std_pontos,vol_cv_golos_marcados
D1,Augsburg,Casa,Lay Empate,Jogo termina empatado,13,0.23076923076923078,0.08179379092465708,0.5025687399512693,-0.012820512820512803,0.0,2.773500981126145,False,0.15384615384615385,0.4223517050863101,0.0,0.22810184305529166,0.07692307692307693,0.3331453392824736,0.23076923076923078,0.5025687399512693,0.15384615384615385,0.4223517050863101,2.178431116693276,1.8040060614705498,1.3323467750529825,0.6960093862470135
D1,Augsburg,Casa,Lay Derrota,Equipa perde o jogo,13,0.3076923076923077,0.1268049716161809,0.5763111218666236,0.004273504273504314,0.0,2.496150883013531,False,0.15384615384615385,0.4223517050863101,0.0,0.22810184305529166,0.07692307692307693,0.3331453392824736,0.23076923076923078,0.5025687399512693,0.15384615384615385,0.4223517050863101,2.178431116693276,1.8040060614705498,1.3323467750529825,0.6960093862470135
D1,Augsburg,Casa,Lay Over 3.5,Mais de 3.5 golos no jogo,13,0.38461538461538464,0.17709446581236818,0.6447751902773147,-0.012820512820512775,0.0,2.2188007849009166,False,0.15384615384615385,0.4223517050863101,0.0,0.22810184305529166,0.07692307692307693,0.3331453392824736,0.23076923076923078,0.5025687399512693,0.15384615384615385,0.4223517050863101,2.178431116693276,1.8040060614705498,1.3323467750529825,0.6960093862470135
D1,Augsburg,Casa,Lay Clean Sheet,Equipa não sofre golos (clean sheet),13,0.38461538461538464,0.17709446581236818,0.6447751902773147,0.1111111111111111,0.0,2.2188007849009166,False,0.15384615384615385,0.4223517050863101,0.0,0.22810184305529166,0.07692307692307693,0.3331453392824736,0.23076923076923078,0.5025687399512693,0.15384615384615385,0.4223517050863101,2.178431116693276,1.8040060614705498,1.3323467750529825,0.6960093862470135
D1,Augsburg,Casa,Lay Vitória,Equipa vence o jogo,13,0.46153846153846156,0.23205754301488138,0.7085656756816795,0.008547008547008572,0.0,1.9414506867883017,False,0.15384615384615385,0.4223517050863101,0.0,0.22810184305529166,0.07692307692307693,0.3331453392824736,0.23076923076923078,0.5025687399512693,0.15384615384615385,0.4223517050863101,2.178431116693276,1.8040060614705498,1.3323467750529825,0.6960093862470135
D1,Augsburg,Fora,Lay Clean Sheet,Equipa não sofre golos (clean sheet),13,0.0,0.0,0.22810184305529166,-0.19230769230769232,0.4297453923617709,5.155020323018745,True,0.15384615384615385,0.4223517050863101,0.0,0.22810184305529166,0.0,0.22810184305529166,0.38461538461538464,0.6447751902773147,0.38461538461538464,0.6447751902773147,1.5913969896597848,1.1409536133993328,1.2498520622516862,0.9948848769417229
D1,Augsburg,Fora,Lay Empate,Jogo termina empatado,13,0.07692307692307693,0.013710066379696304,0.3331453392824736,-0.16666666666666666,0.1671366517938161,3.88446557863012,True,0.15384615384615385,0.4223517050863101,0.0,0.22810184305529166,0.0,0.22810184305529166,0.38461538461538464,0.6447751902773147,0.38461538461538464,0.6447751902773147,1.5913969896597848,1.1409536133993328,1.2498520622516862,0.9948848769417229
D1,Augsburg,Total,Lay Empate,Jogo termina empatado,26,0.15384615384615385,0.06149933998929479,0.33531584418313565,-0.08974358974358973,0.16171038954216094,5.012263338431423,True,0.15384615384615385,0.33531584418313565,0.0,0.12873304380462175,0.038461538461538464,0.18893176991958402,0.3076923076923077,0.4998861151423124,0.2692307692307692,0.46083403419761304,1.9460170216420796,1.517160224870463,1.3592766959286378,0.8393297955650122
D1,Augsburg,Total,Lay Clean Sheet,Equipa não sofre golos (clean sheet),26,0.19230769230769232,0.08506935771788268,0.3787663615465,-0.04059829059829059,0.053084096133750036,4.337062441094017,True,0.15384615384615385,0.33531584418313565,0.0,0.12873304380462175,0.038461538461538464,0.18893176991958402,0.3076923076923077,0.4998861151423124,0.2692307692307692,0.46083403419761304,1.9460170216420796,1.517160224870463,1.3592766959286378,0.8393297955650122
D1,Bayern Munich,Casa,Lay Under 2.5,Menos de 2.5 golos no jogo,13,0.0,0.0,0.22810184305529166,-0.3888888888888889,0.4297453923617709,5.155020323018745,True,0.0,0.22810184305529166,0.6153846153846154,0.8229055341876319,0.0,0.22810184305529166,0.0,0.22810184305529166,0.0,0.22810184305529166,2.253202848596432,1.7974340685458343,0.923076923076923,0.4702699715629801
