league,team,jogos,ppg,vit%,emp%,der%,golos_marcados,golos_sofridos,diff_golos,marca%,CS%,BTTS%,O2.5%,U2.5%,remates,remates_sofridos,SOT,SOT_sofridos,cantos,cantos_sofridos,amarelos,amarelos_sofridos,gf_sum,ga_sum,shots_sum,shots_against_sum,sot_sum,conversion_rate,sot_pct,xg_impl,xg_overperf,defensive_solidity,scope
SC0,Motherwell,17,2.0588235294117645,0.5882352941176471,0.29411764705882354,0.11764705882352941,1.7058823529411764,0.5294117647058824,1.1764705882352942,0.8823529411764706,0.7058823529411765,0.29411764705882354,0.29411764705882354,0.7058823529411765,14.294117647058824,8.705882352941176,5.823529411764706,2.7058823529411766,3.9411764705882355,3.6470588235294117,1.1764705882352942,3.411764705882353,29,9,243,148,99,0.11934156378600823,0.4074074074074074,1.921764705882353,-0.21588235294117664,0.060810810810810814,Casa
SC0,Hibernian,16,1.875,0.5,0.375,0.125,1.875,0.875,1.0,0.8125,0.5,0.4375,0.5,0.5,15.3125,9.875,5.75,3.5,6.1875,5.625,1.5625,2.25,30,14,245,158,92,0.12244897959183673,0.37551020408163266,1.8975000000000002,-0.022500000000000187,0.08860759493670886,Casa
SC0,Falkirk,16,1.4375,0.375,0.3125,0.3125,1.625,1.25,0.375,0.8125,0.1875,0.6875,0.5625,0.4375,13.0625,10.9375,4.3125,3.8125,4.5625,4.0,1.5625,2.0625,26,20,209,175,69,0.12440191387559808,0.33014354066985646,1.423125,0.20187500000000003,0.11428571428571428,Casa
SC0,Dundee,16,1.375,0.375,0.25,0.375,1.5,1.625,-0.125,0.8125,0.125,0.6875,0.6875,0.3125,10.625,15.875,3.4375,5.4375,4.1875,5.8125,1.5,2.0,24,26,170,254,55,0.1411764705882353,0.3235294117647059,1.1343750000000001,0.36562499999999987,0.10236220472440945,Casa
SC0,Dundee United,16,1.3125,0.3125,0.375,0.3125,1.125,1.25,-0.125,0.625,0.25,0.5,0.4375,0.5625,14.375,16.25,4.625,4.5,5.5625,5.8125,2.125,1.8125,18,20,230,260,74,0.0782608695652174,0.3217391304347826,1.52625,-0.4012500000000001,0.07692307692307693,Casa
SC0,St Mirren,16,1.25,0.3125,0.3125,0.375,0.625,1.0,-0.375,0.4375,0.5,0.125,0.1875,0.8125,11.9375,12.25,3.8125,3.6875,5.375,5.1875,2.0,1.4375,10,16,191,196,61,0.05235602094240838,0.3193717277486911,1.2581250000000002,-0.6331250000000002,0.08163265306122448,Casa
SC0,Aberdeen,15,1.1333333333333333,0.26666666666666666,0.3333333333333333,0.4,1.5333333333333334,1.4,0.13333333333333333,0.7333333333333333,0.2,0.6,0.4666666666666667,0.5333333333333333,12.466666666666667,13.333333333333334,4.6,4.6,6.066666666666666,5.266666666666667,2.1333333333333333,2.4,23,21,187,200,69,0.12299465240641712,0.3689839572192513,1.518,0.015333333333333421,0.105,Casa
SC0,Kilmarnock,16,1.125,0.3125,0.1875,0.5,1.25,1.5625,-0.3125,0.6875,0.3125,0.4375,0.5625,0.4375,13.3125,12.8125,4.1875,4.5625,4.875,4.4375,2.0,2.6875,20,25,213,205,67,0.09389671361502347,0.3145539906103286,1.381875,-0.13187499999999996,0.12195121951219512,Casa
SC0,Livingston,16,0.625,0.0625,0.4375,0.5,1.3125,1.875,-0.5625,0.875,0.0,0.875,0.6875,0.3125,10.25,14.4375,3.6875,5.25,5.25,5.1875,2.75,1.5,21,30,164,231,59,0.12804878048780488,0.3597560975609756,1.2168750000000002,0.09562499999999985,0.12987012987012986,Casa
SC0,Rangers,15,1.8666666666666667,0.4666666666666667,0.4666666666666667,0.06666666666666667,1.6,0.8,0.8,0.9333333333333333,0.4,0.6,0.4666666666666667,0.5333333333333333,15.066666666666666,12.533333333333333,6.066666666666666,4.533333333333333,7.4,5.4,2.533333333333333,1.8666666666666667,24,12,226,188,91,0.10619469026548672,0.4026548672566372,2.0020000000000002,-0.40200000000000014,0.06382978723404255,Fora
SC0,Celtic,17,1.7647058823529411,0.5294117647058824,0.17647058823529413,0.29411764705882354,1.4705882352941178,1.3529411764705883,0.11764705882352941,0.7647058823529411,0.23529411764705882,0.5882352941176471,0.5882352941176471,0.4117647058823529,14.176470588235293,11.588235294117647,4.117647058823529,4.235294117647059,5.352941176470588,4.588235294117647,2.0588235294117645,1.8235294117647058,25,23,241,197,70,0.1037344398340249,0.29045643153526973,1.3588235294117648,0.11176470588235299,0.116751269035533,Fora
SC0,Hearts,16,1.6875,0.5,0.1875,0.3125,1.625,1.125,0.5,0.75,0.375,0.4375,0.5625,0.4375,13.625,11.625,4.8125,3.9375,5.375,4.5625,2.0,2.4375,26,18,218,186,77,0.11926605504587157,0.3532110091743119,1.588125,0.03687499999999999,0.0967741935483871,Fora
SC0,Falkirk,16,1.4375,0.4375,0.125,0.4375,1.0,1.375,-0.375,0.5625,0.3125,0.3125,0.5,0.5,11.5,13.25,3.6875,5.0625,5.0,5.5625,2.5625,1.6875,16,22,184,212,59,0.08695652173913043,0.32065217391304346,1.2168750000000002,-0.21687500000000015,0.10377358490566038,Fora
SC0,Hibernian,16,1.3125,0.3125,0.375,0.3125,1.3125,1.3125,0.0,0.625,0.1875,0.5625,0.5625,0.4375,10.75,12.625,4.0625,3.9375,4.375,5.0625,1.875,1.8125,21,21,172,202,65,0.12209302325581395,0.37790697674418605,1.340625,-0.028124999999999956,0.10396039603960396,Fora
SC0,Motherwell,15,1.2666666666666666,0.26666666666666666,0.4666666666666667,0.26666666666666666,1.4666666666666666,1.1333333333333333,0.3333333333333333,0.7333333333333333,0.3333333333333333,0.6,0.4666666666666667,0.5333333333333333,12.266666666666667,12.533333333333333,4.066666666666666,4.733333333333333,3.6666666666666665,4.466666666666667,1.6666666666666667,2.6666666666666665,22,17,184,188,61,0.11956521739130435,0.33152173913043476,1.342,0.12466666666666648,0.09042553191489362,Fora
SC0,Dundee United,16,1.0,0.1875,0.4375,0.375,1.5,2.0,-0.5,0.75,0.0625,0.6875,0.5625,0.4375,12.0625,14.9375,4.5,5.1875,3.6875,5.125,2.4375,1.5,24,32,193,239,72,0.12435233160621761,0.37305699481865284,1.485,0.014999999999999902,0.13389121338912133,Fora
SC0,Aberdeen,17,0.7647058823529411,0.23529411764705882,0.058823529411764705,0.7058823529411765,0.47058823529411764,1.588235294117647,-1.1176470588235294,0.35294117647058826,0.23529411764705882,0.17647058823529413,0.23529411764705882,0.7647058823529411,10.411764705882353,16.88235294117647,2.4705882352941178,5.176470588235294,3.7058823529411766,5.764705882352941,2.8823529411764706,1.5294117647058822,8,27,177,287,42,0.04519774011299435,0.23728813559322035,0.815294117647059,-0.3447058823529413,0.09407665505226481,Fora
SC0,Dundee,16,0.625,0.125,0.25,0.625,0.5,1.5625,-1.0625,0.3125,0.1875,0.25,0.375,0.625,9.3125,15.5625,2.625,5.625,3.375,5.875,1.375,1.8125,8,25,149,249,42,0.053691275167785234,0.28187919463087246,0.8662500000000001,-0.3662500000000001,0.10040160642570281,Fora
SC0,St Mirren,16,0.625,0.125,0.25,0.625,1.0625,1.9375,-0.875,0.6875,0.0,0.6875,0.5,0.5,11.8125,13.5625,3.1875,5.0625,5.6875,6.25,1.9375,0.9375,17,31,189,217,51,0.08994708994708994,0.2698412698412698,1.0518750000000001,0.010624999999999885,0.14285714285714285,Fora
SC0,Kilmarnock,16,0.5625,0.0625,0.375,0.5625,0.9375,2.375,-1.4375,0.75,0.125,0.6875,0.6875,0.3125,8.75,17.0625,3.375,6.5625,3.875,6.75,2.1875,1.625,15,38,140,273,54,0.10714285714285714,0.38571428571428573,1.11375,-0.17625000000000002,0.1391941391941392,Fora
SC0,Livingston,16,0.375,0.0,0.375,0.625,0.75,2.0625,-1.3125,0.5,0.125,0.5,0.5625,0.4375,8.875,16.5625,2.8125,5.5,3.625,6.6875,2.125,1.625,12,33,142,265,45,0.08450704225352113,0.31690140845070425,0.9281250000000001,-0.1781250000000001,0.12452830188679245,Fora
