league,team,jogos,ppg,vit%,emp%,der%,golos_marcados,golos_sofridos,diff_golos,marca%,CS%,BTTS%,O2.5%,U2.5%,remates,remates_sofridos,SOT,SOT_sofridos,cantos,cantos_sofridos,amarelos,amarelos_sofridos,gf_sum,ga_sum,shots_sum,shots_against_sum,sot_sum,conversion_rate,sot_pct,xg_impl,xg_overperf,defensive_solidity,scope
T1,Galatasaray,27,2.3703703703703702,0.7407407407407407,0.14814814814814814,0.1111111111111111,2.3333333333333335,0.7407407407407407,1.5925925925925926,0.8888888888888888,0.4074074074074074,0.5185185185185185,0.6666666666666666,0.3333333333333333,17.037037037037038,10.296296296296296,5.777777777777778,3.4074074074074074,5.62962962962963,3.5925925925925926,1.962962962962963,2.2962962962962963,63,20,460,278,156,0.13695652173913042,0.3391304347826087,1.9066666666666667,0.42666666666666675,0.07194244604316546,Total
T1,Fenerbahce,28,2.25,0.6428571428571429,0.32142857142857145,0.03571428571428571,2.2142857142857144,1.0,1.2142857142857142,0.8928571428571429,0.32142857142857145,0.6428571428571429,0.5714285714285714,0.42857142857142855,17.178571428571427,10.214285714285714,6.142857142857143,3.2857142857142856,7.214285714285714,4.25,2.357142857142857,2.892857142857143,62,28,481,286,172,0.1288981288981289,0.3575883575883576,2.027142857142857,0.18714285714285728,0.0979020979020979,Total
T1,Trabzonspor,28,2.25,0.6785714285714286,0.21428571428571427,0.10714285714285714,1.9642857142857142,1.0714285714285714,0.8928571428571429,0.9285714285714286,0.32142857142857145,0.6428571428571429,0.5714285714285714,0.42857142857142855,15.178571428571429,13.464285714285714,5.535714285714286,3.9285714285714284,4.642857142857143,5.25,1.6428571428571428,2.5,55,30,425,377,155,0.12941176470588237,0.36470588235294116,1.8267857142857145,0.13749999999999973,0.07957559681697612,Total
T1,Besiktas,28,1.8571428571428572,0.5357142857142857,0.25,0.21428571428571427,1.75,1.1428571428571428,0.6071428571428571,0.8571428571428571,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.42857142857142855,16.535714285714285,11.892857142857142,6.107142857142857,3.5714285714285716,5.464285714285714,4.678571428571429,2.357142857142857,3.0357142857142856,49,32,463,333,171,0.10583153347732181,0.3693304535637149,2.015357142857143,-0.26535714285714285,0.0960960960960961,Total
T1,Goztep,27,1.7037037037037037,0.4444444444444444,0.37037037037037035,0.18518518518518517,1.1851851851851851,0.7407407407407407,0.4444444444444444,0.7037037037037037,0.5555555555555556,0.37037037037037035,0.37037037037037035,0.6296296296296297,13.555555555555555,12.222222222222221,4.407407407407407,3.4444444444444446,4.666666666666667,5.148148148148148,2.5185185185185186,2.2222222222222223,32,20,366,330,119,0.08743169398907104,0.3251366120218579,1.4544444444444447,-0.26925925925925953,0.06060606060606061,Total
T1,Buyuksehyr,28,1.5714285714285714,0.42857142857142855,0.2857142857142857,0.2857142857142857,1.5714285714285714,1.0714285714285714,0.5,0.7857142857142857,0.35714285714285715,0.5714285714285714,0.5714285714285714,0.42857142857142855,13.0,12.821428571428571,4.607142857142857,4.285714285714286,4.964285714285714,5.214285714285714,2.1785714285714284,2.357142857142857,44,30,364,359,129,0.12087912087912088,0.3543956043956044,1.520357142857143,0.051071428571428434,0.08356545961002786,Total
T1,Samsunspor,27,1.3333333333333333,0.2962962962962963,0.4444444444444444,0.25925925925925924,1.1481481481481481,1.2222222222222223,-0.07407407407407407,0.7037037037037037,0.2962962962962963,0.5925925925925926,0.4444444444444444,0.5555555555555556,12.962962962962964,11.62962962962963,3.740740740740741,3.4444444444444446,5.962962962962963,4.0,2.074074074074074,1.8518518518518519,31,33,350,314,101,0.08857142857142856,0.2885714285714286,1.2344444444444445,-0.08629629629629632,0.10509554140127389,Total
T1,Gaziantep,28,1.2142857142857142,0.2857142857142857,0.35714285714285715,0.35714285714285715,1.3214285714285714,1.6785714285714286,-0.35714285714285715,0.75,0.17857142857142858,0.6428571428571429,0.6428571428571429,0.35714285714285715,12.964285714285714,13.892857142857142,4.464285714285714,5.142857142857143,4.964285714285714,5.178571428571429,2.892857142857143,3.107142857142857,37,47,363,389,125,0.10192837465564739,0.3443526170798898,1.4732142857142858,-0.1517857142857144,0.12082262210796915,Total
T1,Kocaelispor,28,1.2142857142857142,0.32142857142857145,0.25,0.42857142857142855,0.8214285714285714,1.1428571428571428,-0.32142857142857145,0.5714285714285714,0.35714285714285715,0.35714285714285715,0.32142857142857145,0.6785714285714286,10.25,11.5,3.107142857142857,3.142857142857143,4.214285714285714,4.178571428571429,2.25,2.142857142857143,23,32,287,322,87,0.08013937282229965,0.30313588850174217,1.0253571428571429,-0.20392857142857146,0.09937888198757763,Total
T1,Alanyaspor,28,1.1428571428571428,0.21428571428571427,0.5,0.2857142857142857,1.2142857142857142,1.1785714285714286,0.03571428571428571,0.75,0.32142857142857145,0.6071428571428571,0.4642857142857143,0.5357142857142857,12.785714285714286,11.071428571428571,4.071428571428571,3.9642857142857144,4.678571428571429,3.5357142857142856,2.357142857142857,2.107142857142857,34,33,358,310,114,0.09497206703910614,0.31843575418994413,1.3435714285714286,-0.12928571428571445,0.1064516129032258,Total
